phase,lr,weight_decay,seed,metric_value,experiment_dir,metric_key_used
grid,0.005,0.1,45,0.9609006286492436,code/experiments/results/experiment_grid_lr0.005_wd0.1_s45_20251127_211242,best_val_metrics.f1_macro
grid,0.005,0.1,46,0.959987450408081,code/experiments/results/experiment_grid_lr0.005_wd0.1_s46_20251129_053453,best_val_metrics.f1_macro
grid,0.01,0.001,42,0.96059916685389,code/experiments/results/experiment_grid_lr0.01_wd0.001_s42_20251129_090515,best_val_metrics.f1_macro
grid,0.01,0.001,43,0.9602971664999287,code/experiments/results/experiment_grid_lr0.01_wd0.001_s43_20251129_032143,best_val_metrics.f1_macro
grid,0.01,0.001,44,0.9618288580826082,code/experiments/results/experiment_grid_lr0.01_wd0.001_s44_20251127_220114,best_val_metrics.f1_macro
grid,0.01,0.001,45,0.960289700971888,code/experiments/results/experiment_grid_lr0.01_wd0.001_s45_20251128_030725,best_val_metrics.f1_macro
grid,0.01,0.001,46,0.9611946152671305,code/experiments/results/experiment_grid_lr0.01_wd0.001_s46_20251129_165721,best_val_metrics.f1_macro
grid,0.01,0.01,42,0.9602924564340862,code/experiments/results/experiment_grid_lr0.01_wd0.01_s42_20251129_134121,best_val_metrics.f1_macro
grid,0.01,0.01,43,0.960908650080197,code/experiments/results/experiment_grid_lr0.01_wd0.01_s43_20251127_180643,best_val_metrics.f1_macro
grid,0.01,0.01,44,0.9621335599041301,code/experiments/results/experiment_grid_lr0.01_wd0.01_s44_20251129_131711,best_val_metrics.f1_macro
grid,0.01,0.01,45,0.9606078076122527,code/experiments/results/experiment_grid_lr0.01_wd0.01_s45_20251129_042516,best_val_metrics.f1_macro
grid,0.01,0.01,46,0.9608884297674877,code/experiments/results/experiment_grid_lr0.01_wd0.01_s46_20251129_050429,best_val_metrics.f1_macro
grid,0.01,0.1,42,0.956924572596892,code/experiments/results/experiment_grid_lr0.01_wd0.1_s42_20251130_030737,best_val_metrics.f1_macro
grid,0.01,0.1,43,0.9584695613774008,code/experiments/results/experiment_grid_lr0.01_wd0.1_s43_20251129_093100,best_val_metrics.f1_macro
grid,0.01,0.1,44,0.957217409090027,code/experiments/results/experiment_grid_lr0.01_wd0.1_s44_20251129_140519,best_val_metrics.f1_macro
grid,0.01,0.1,45,0.9587665699633733,code/experiments/results/experiment_grid_lr0.01_wd0.1_s45_20251129_124836,best_val_metrics.f1_macro
grid,0.01,0.1,46,0.957547356764003,code/experiments/results/experiment_grid_lr0.01_wd0.1_s46_20251128_142824,best_val_metrics.f1_macro
